customer_reference,term_key
DE--1,purchase_conditions
DE--1,marketing_consents
DE--1,general_provisions
DE--1,legal_compliance
DE--2,purchase_conditions
DE--2,marketing_consents
DE--2,general_provisions
DE--2,legal_compliance
DE--3,purchase_conditions
DE--3,marketing_consents
DE--3,general_provisions
DE--3,legal_compliance
DE--4,purchase_conditions
DE--5,marketing_consents
DE--4,general_provisions
DE--4,legal_compliance
DE--5,purchase_conditions
DE--5,marketing_consents
DE--5,general_provisions
DE--5,legal_compliance
DE--6,purchase_conditions
DE--6,marketing_consents
DE--6,general_provisions
DE--6,legal_compliance
DE--7,purchase_conditions
DE--7,marketing_consents
DE--7,general_provisions
DE--7,legal_compliance
DE--8,purchase_conditions
DE--8,marketing_consents
DE--8,general_provisions
DE--8,legal_compliance
DE--9,purchase_conditions
DE--9,marketing_consents
DE--9,general_provisions
DE--9,legal_compliance
DE--10,purchase_conditions
DE--10,marketing_consents
DE--10,general_provisions
DE--10,legal_compliance
DE--11,purchase_conditions
DE--11,marketing_consents
DE--11,general_provisions
DE--11,legal_compliance
DE--12,purchase_conditions
DE--12,marketing_consents
DE--12,general_provisions
DE--12,legal_compliance
DE--13,purchase_conditions
DE--13,marketing_consents
DE--13,general_provisions
DE--13,legal_compliance
DE--14,purchase_conditions
DE--14,marketing_consents
DE--14,general_provisions
DE--14,legal_compliance
DE--15,purchase_conditions
DE--15,marketing_consents
DE--15,general_provisions
DE--15,legal_compliance
DE--16,purchase_conditions
DE--16,marketing_consents
DE--16,general_provisions
DE--16,legal_compliance
DE--17,purchase_conditions
DE--17,marketing_consents
DE--17,general_provisions
DE--17,legal_compliance
DE--18,purchase_conditions
DE--18,marketing_consents
DE--18,general_provisions
DE--18,legal_compliance
DE--19,purchase_conditions
DE--19,marketing_consents
DE--19,general_provisions
DE--19,legal_compliance
DE--20,purchase_conditions
DE--20,marketing_consents
DE--20,general_provisions
DE--20,legal_compliance
DE--21,purchase_conditions
DE--21,marketing_consents
DE--21,general_provisions
DE--21,legal_compliance
DE--30,purchase_conditions
DE--30,marketing_consents
DE--30,general_provisions
DE--30,legal_compliance
DE--31,purchase_conditions
DE--31,marketing_consents
DE--31,general_provisions
DE--31,legal_compliance
DE--32,purchase_conditions
DE--32,marketing_consents
DE--32,general_provisions
DE--32,legal_compliance
DE--33,purchase_conditions
DE--33,marketing_consents
DE--33,general_provisions
DE--33,legal_compliance
DE--34,purchase_conditions
DE--34,marketing_consents
DE--34,general_provisions
DE--34,legal_compliance
